"campaignid","sample","method","slope","aspect","roughness","tpi","detrended"
"2020-06_south-west_stereo-BRUVs","01","BRUV",0.0230063013732433,1.31246495246887,14,1.25,16.6787967681885
"2020-06_south-west_stereo-BRUVs","02","BRUV",0.0176542047411203,0.5140380859375,11,-1.25,16.2943840026855
"2020-06_south-west_stereo-BRUVs","03","BRUV",0.0178407672792673,6.13054513931274,12,0.375,18.9745559692383
"2020-06_south-west_stereo-BRUVs","04","BRUV",0.00814312137663364,1.04747939109802,5,-0.5,16.2703132629395
"2020-06_south-west_stereo-BRUVs","05","BRUV",0.00651136552914977,4.71238899230957,3,-1.125,17.8244132995605
"2020-06_south-west_stereo-BRUVs","06","BRUV",0.000706347171217203,0.876072406768799,1,-0.125,19.2493419647217
"2020-06_south-west_stereo-BRUVs","07","BRUV",0.000706347171217203,0.876072406768799,1,-0.125,19.2493419647217
"2020-06_south-west_stereo-BRUVs","08","BRUV",0.00452181650325656,3.14159274101257,3,0,20.1201725006104
"2020-06_south-west_stereo-BRUVs","09","BRUV",0.0042184772901237,0.540354073047638,3,-1.375,16.5014877319336
"2020-06_south-west_stereo-BRUVs","10","BRUV",0.000706260907463729,2.26562213897705,1,-0.25,15.7567300796509
"2020-06_south-west_stereo-BRUVs","11","BRUV",0.000706273247487843,2.26560759544373,1,0.25,14.4609718322754
"2020-06_south-west_stereo-BRUVs","12","BRUV",0.0137446541339159,2.1642735004425,8,1.25,21.4235553741455
"2020-06_south-west_stereo-BRUVs","13","BRUV",0.0230063013732433,1.31246495246887,14,1.25,16.6787967681885
"2020-06_south-west_stereo-BRUVs","14","BRUV",0.0085740964859724,5.82426643371582,8,4.25,25.0391407012939
"2020-06_south-west_stereo-BRUVs","15","BRUV",0.00486665079370141,3.8743782043457,4,1.25,22.0555858612061
"2020-06_south-west_stereo-BRUVs","16","BRUV",0.00217035412788391,4.71238899230957,1,-0.375,20.4159297943115
"2020-06_south-west_stereo-BRUVs","17","BRUV",0.00718320906162262,4.52240037918091,4,0.875,22.4640693664551
"2020-06_south-west_stereo-BRUVs","18","BRUV",0.00973196048289537,5.622971534729,9,1.5,22.7193126678467
"2020-06_south-west_stereo-BRUVs","20","BRUV",0.00282533233985305,4.01765060424805,2,-0.25,36.6709442138672
"2020-06_south-west_stereo-BRUVs","21","BRUV",0.00434081582352519,4.71238899230957,2,0,36.9667015075684
"2020-06_south-west_stereo-BRUVs","22","BRUV",0.00434068776667118,4.71238899230957,2,0,37.2219429016113
"2020-06_south-west_stereo-BRUVs","23","BRUV",0.00434055924415588,4.71238899230957,2,0,36.837532043457
"2020-06_south-west_stereo-BRUVs","24","BRUV",0.00141254579648376,4.01757764816284,2,0,36.9876708984375
"2020-06_south-west_stereo-BRUVs","25","BRUV",0.00235099997371435,4.31753492355347,1,0.5,37.2429161071777
"2020-06_south-west_stereo-BRUVs","26","BRUV",0.00217022560536861,4.71238899230957,1,-0.375,36.3720855712891
"2020-06_south-west_stereo-BRUVs","27","BRUV",0.00168931379448622,4.44141149520874,1,-0.25,36.0117416381836
"2020-06_south-west_stereo-BRUVs","28","BRUV",0.00235094083473086,5.10725355148315,1,-0.5,34.0567855834961
"2020-06_south-west_stereo-BRUVs","29","BRUV",0.00146100483834743,3.52201724052429,1,-0.25,33.6318550109863
"2020-06_south-west_stereo-BRUVs","30","BRUV",0.00210919859819114,3.68190765380859,1,-0.5,32.9516830444336
"2020-06_south-west_stereo-BRUVs","31","BRUV",0.00146101671271026,5.90274047851562,1,-0.25,32.4006805419922
"2020-06_south-west_stereo-BRUVs","32","BRUV",3.46944695195361e-18,4.71238899230957,0,0,32.7881927490234
"2020-06_south-west_stereo-BRUVs","33","BRUV",3.46944695195361e-18,1.57079637050629,0,0,32.172607421875
"2020-06_south-west_stereo-BRUVs","34","BRUV",0.000706334831193089,4.01765060424805,1,-0.125,31.4278507232666
