Dot Point Measurements

Generated: Thursday 30 September 2021 10:08:04

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
100W.jpg	      0		936	133													Macroalgae	Erect fine branching	Red	Open		90300910			71.9
100W.jpg	      0		706	490													Consolidated	Rock	Turf mat	Open		82001002			32.8
100W.jpg	      0		650	650													Macroalgae	Erect fine branching	Red	Open		90300910			21.0
100W.jpg	      0		791	1365													Consolidated	Rock	No biota	Open		82001002			64.2
100W.jpg	      0		817	231													Macroalgae	Erect fine branching	Red	Open		90300910			59.6
100W.jpg	      0		553	909													Macroalgae	Erect fine branching	Red	Open		90300910			30.1
100W.jpg	      0		724	170													Macroalgae	Erect fine branching	Red	Open		90300910			66.7
100W.jpg	      0		887	50													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			80.0
100W.jpg	      0		1000	510													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			36.7
100W.jpg	      0		573	1067													Macroalgae	Erect fine branching	Red	Open		90300910			39.9
100W.jpg	      0		950	456													Consolidated	Rock	No biota	Open		82001002			38.9
100W.jpg	      0		564	278													Macroalgae	Erect fine branching	Red	Open		90300910			60.0
100W.jpg	      0		686	46													Consolidated	Rock	Turf mat	Open		82001002			80.7
100W.jpg	      0		970	1646													Macroalgae	Erect fine branching	Red	Open		90300910			96.9
100W.jpg	      0		627	508													Consolidated	Rock	Turf mat	Open		82001002			34.6
100W.jpg	      0		963	1329													Consolidated	Rock	Turf mat	Open		82001002			63.0
100W.jpg	      0		783	1693													Sponges	Erect forms		Open		10000912			100.0
100W.jpg	      0		958	1412													Macroalgae	Erect fine branching	Red	Open		90300910			71.6
100W.jpg	      0		900	1656													Macroalgae	Erect fine branching	Red	Open		90300910			96.7
100W.jpg	      0		859	935													Sponges	Erect forms		Open		10000912			18.6
101W.jpg	      0		714	1743													Consolidated	Rock	Turf mat	Open		82001002			68.7
101W.jpg	      0		789	798													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			49.3
101W.jpg	      0		911	1705													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			62.4
101W.jpg	      0		1008	393													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
101W.jpg	      0		816	1657													Macroalgae	Erect course branching	Brown	Open		80300904			56.3
101W.jpg	      0		1000	719													Macroalgae	Erect fine branching	Red	Open		90300910			61.0
101W.jpg	      0		1026	469													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			91.3
101W.jpg	      0		765	1896													Macroalgae	Erect fine branching	Green	Open		80300909			86.0
101W.jpg	      0		934	1853													Macroalgae	Erect fine branching	Red	Open		90300910			80.7
101W.jpg	      0		1030	1818													Macroalgae	Erect fine branching	Red	Open		90300910			78.8
101W.jpg	      0		562	435													Macroalgae	Erect fine branching	Red	Open		90300910			99.5
101W.jpg	      0		732	1491													Macroalgae	Erect fine branching	Red	Open		90300910			38.8
101W.jpg	      0		907	1521													Macroalgae	Erect course branching	Brown	Open		80300904			40.1
