"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Open","broad.Consolidated","broad.Hydroids","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",15.4929577464789,84.5070422535211,4.6875,0,76.5625,4.6875,0,0,14.0625
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,4.05405405405405,0,58.1081081081081,31.0810810810811,4.05405405405405,0,2.7027027027027
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",13.5135135135135,86.4864864864865,1.75438596491228,0,92.9824561403509,1.75438596491228,3.50877192982456,0,0
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",5.26315789473684,94.7368421052632,14.2857142857143,0,71.4285714285714,6.34920634920635,6.34920634920635,0,1.58730158730159
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,45.4545454545455,0,41.8181818181818,1.81818181818182,9.09090909090909,0,1.81818181818182
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,9.85915492957746,0,66.1971830985916,7.04225352112676,2.8169014084507,0,14.0845070422535
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",18.6666666666667,81.3333333333333,17.5438596491228,0,77.1929824561403,0,3.50877192982456,0,1.75438596491228
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,1.81818181818182,0,63.6363636363636,0,3.63636363636364,0,30.9090909090909
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,3.07692307692308,0,69.2307692307692,16.9230769230769,0,0,10.7692307692308
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,0,0,77.5862068965517,8.62068965517241,8.62068965517241,0,5.17241379310345
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",0,100,0,0,90.3225806451613,6.45161290322581,1.61290322580645,0,1.61290322580645
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",0,100,0,0,69.1176470588235,14.7058823529412,10.2941176470588,0,5.88235294117647
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",0,100,1.2987012987013,0,51.9480519480519,19.4805194805195,2.5974025974026,0,24.6753246753247
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",0,100,9.58904109589041,0,61.6438356164384,26.027397260274,1.36986301369863,1.36986301369863,0
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",0,100,9.09090909090909,0,53.030303030303,31.8181818181818,3.03030303030303,0,3.03030303030303
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,4.16666666666667,0,70.8333333333333,13.8888888888889,0,0,11.1111111111111
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",15.0684931506849,84.9315068493151,20,0,65,0,6.66666666666667,0,8.33333333333333
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",2.63157894736842,97.3684210526316,6.66666666666667,0,84,2.66666666666667,4,0,2.66666666666667
"J35",34.134801,114.869348,20201119,11:49:38,"MBH","June Sites","Y",4.10958904109589,95.8904109589041,27.1428571428571,0,45.7142857142857,0,2.85714285714286,1.42857142857143,22.8571428571429
"J36",34.130484,114.878263,20201119,11:41:09,"MBH","June Sites","Y",6.49350649350649,93.5064935064935,26.4705882352941,0,61.7647058823529,4.41176470588235,2.94117647058824,0,4.41176470588235
"J37",34.126354,114.878937,20201119,12:12:46,"MBH","June Sites","Y",0,100,11.2676056338028,0,46.4788732394366,0,2.8169014084507,0,39.4366197183099
"J38",34.127912,114.883938,20201119,12:04:47,"MBH","June Sites","Y",1.35135135135135,98.6486486486486,0,0,42.4242424242424,0,0,0,57.5757575757576
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,0,1.26582278481013,0,0,0,98.7341772151899
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,0,38.8888888888889,40.7407407407407,9.25925925925926,0,11.1111111111111
"J3",34.126906,114.925945,20201119,07:44:54,"MBH","June Sites","Y",0,100,5.97014925373134,1.49253731343284,26.865671641791,37.3134328358209,28.3582089552239,0,0
"J4",34.122634,114.920337,20201119,07:52:40,"MBH","June Sites","Y",0,100,5.17241379310345,0,82.7586206896552,0,6.89655172413793,0,5.17241379310345
"J5",34.131497,114.915753,20201119,08:19:57,"MBH","June Sites","Y",0,100,0,0,98.4375,0,0,0,1.5625
"J6",34.132842,114.912405,20201119,08:11:29,"MBH","June Sites","Y",0,100,0,0,87.9310344827586,0,12.0689655172414,0,0
"J7",34.134771,114.910241,20201119,08:27:10,"MBH","June Sites","Y",0,100,28.3582089552239,0,19.4029850746269,32.8358208955224,8.95522388059701,0,10.4477611940298
"J8",34.129352,114.911755,20201119,08:03:44,"MBH","June Sites","Y",0,100,0,0,100,0,0,0,0
"J9",34.119541,114.916105,20201119,07:13:23,"MBH","June Sites","Y",1.28205128205128,98.7179487179487,0,0,59.2105263157895,5.26315789473684,11.8421052631579,0,23.6842105263158
"J10",34.117294,114.918685,20201119,07:20:50,"MBH","June Sites","Y",0,100,3.84615384615385,0,74.3589743589744,19.2307692307692,1.28205128205128,0,1.28205128205128
"J11",34.117752,114.92306,20201119,06:58:19,"MBH","June Sites","Y",0,100,1.78571428571429,0,28.5714285714286,62.5,7.14285714285714,0,0
"J12",34.132262,114.928545,20201119,07:05:56,"MBH","June Sites","Y",0,100,3.94736842105263,0,72.3684210526316,0,21.0526315789474,0,2.63157894736842
"J13",34.128506,114.930547,20201119,09:11:19,"MBH","June Sites","Y",0,100,2.56410256410256,0,43.5897435897436,14.1025641025641,6.41025641025641,0,33.3333333333333
"J14",34.128381,114.925457,20201119,08:48:29,"MBH","June Sites","Y",0,100,1.51515151515152,0,89.3939393939394,0,4.54545454545455,0,4.54545454545455
"J15",34.125012,114.91032,20201119,09:03:36,"MBH","June Sites","Y",1.2987012987013,98.7012987012987,1.33333333333333,0,77.3333333333333,0,20,0,1.33333333333333
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",15.4929577464789,84.5070422535211,4.6875,0,76.5625,4.6875,0,0,14.0625
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,4.05405405405405,0,58.1081081081081,31.0810810810811,4.05405405405405,0,2.7027027027027
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",13.5135135135135,86.4864864864865,1.75438596491228,0,92.9824561403509,1.75438596491228,3.50877192982456,0,0
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",5.26315789473684,94.7368421052632,14.2857142857143,0,71.4285714285714,6.34920634920635,6.34920634920635,0,1.58730158730159
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,45.4545454545455,0,41.8181818181818,1.81818181818182,9.09090909090909,0,1.81818181818182
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,9.85915492957746,0,66.1971830985916,7.04225352112676,2.8169014084507,0,14.0845070422535
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",18.6666666666667,81.3333333333333,17.5438596491228,0,77.1929824561403,0,3.50877192982456,0,1.75438596491228
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,1.81818181818182,0,63.6363636363636,0,3.63636363636364,0,30.9090909090909
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,3.07692307692308,0,69.2307692307692,16.9230769230769,0,0,10.7692307692308
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,0,0,77.5862068965517,8.62068965517241,8.62068965517241,0,5.17241379310345
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",0,100,0,0,90.3225806451613,6.45161290322581,1.61290322580645,0,1.61290322580645
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",0,100,0,0,69.1176470588235,14.7058823529412,10.2941176470588,0,5.88235294117647
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",0,100,1.2987012987013,0,51.9480519480519,19.4805194805195,2.5974025974026,0,24.6753246753247
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",0,100,9.58904109589041,0,61.6438356164384,26.027397260274,1.36986301369863,1.36986301369863,0
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",0,100,9.09090909090909,0,53.030303030303,31.8181818181818,3.03030303030303,0,3.03030303030303
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,4.16666666666667,0,70.8333333333333,13.8888888888889,0,0,11.1111111111111
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",15.0684931506849,84.9315068493151,20,0,65,0,6.66666666666667,0,8.33333333333333
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",2.63157894736842,97.3684210526316,6.66666666666667,0,84,2.66666666666667,4,0,2.66666666666667
"J35",34.134801,114.869348,20201119,11:49:38,"MBH","June Sites","Y",4.10958904109589,95.8904109589041,27.1428571428571,0,45.7142857142857,0,2.85714285714286,1.42857142857143,22.8571428571429
"J36",34.130484,114.878263,20201119,11:41:09,"MBH","June Sites","Y",6.49350649350649,93.5064935064935,26.4705882352941,0,61.7647058823529,4.41176470588235,2.94117647058824,0,4.41176470588235
"J37",34.126354,114.878937,20201119,12:12:46,"MBH","June Sites","Y",0,100,11.2676056338028,0,46.4788732394366,0,2.8169014084507,0,39.4366197183099
"J38",34.127912,114.883938,20201119,12:04:47,"MBH","June Sites","Y",1.35135135135135,98.6486486486486,0,0,42.4242424242424,0,0,0,57.5757575757576
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,0,1.26582278481013,0,0,0,98.7341772151899
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,0,38.8888888888889,40.7407407407407,9.25925925925926,0,11.1111111111111
"J3",34.126906,114.925945,20201119,07:44:54,"MBH","June Sites","Y",0,100,5.97014925373134,1.49253731343284,26.865671641791,37.3134328358209,28.3582089552239,0,0
"J4",34.122634,114.920337,20201119,07:52:40,"MBH","June Sites","Y",0,100,5.17241379310345,0,82.7586206896552,0,6.89655172413793,0,5.17241379310345
"J5",34.131497,114.915753,20201119,08:19:57,"MBH","June Sites","Y",0,100,0,0,98.4375,0,0,0,1.5625
"J6",34.132842,114.912405,20201119,08:11:29,"MBH","June Sites","Y",0,100,0,0,87.9310344827586,0,12.0689655172414,0,0
"J7",34.134771,114.910241,20201119,08:27:10,"MBH","June Sites","Y",0,100,28.3582089552239,0,19.4029850746269,32.8358208955224,8.95522388059701,0,10.4477611940298
"J8",34.129352,114.911755,20201119,08:03:44,"MBH","June Sites","Y",0,100,0,0,100,0,0,0,0
"J9",34.119541,114.916105,20201119,07:13:23,"MBH","June Sites","Y",1.28205128205128,98.7179487179487,0,0,59.2105263157895,5.26315789473684,11.8421052631579,0,23.6842105263158
"J10",34.117294,114.918685,20201119,07:20:50,"MBH","June Sites","Y",0,100,3.84615384615385,0,74.3589743589744,19.2307692307692,1.28205128205128,0,1.28205128205128
"J11",34.117752,114.92306,20201119,06:58:19,"MBH","June Sites","Y",0,100,1.78571428571429,0,28.5714285714286,62.5,7.14285714285714,0,0
"J12",34.132262,114.928545,20201119,07:05:56,"MBH","June Sites","Y",0,100,3.94736842105263,0,72.3684210526316,0,21.0526315789474,0,2.63157894736842
"J13",34.128506,114.930547,20201119,09:11:19,"MBH","June Sites","Y",0,100,2.56410256410256,0,43.5897435897436,14.1025641025641,6.41025641025641,0,33.3333333333333
"J14",34.128381,114.925457,20201119,08:48:29,"MBH","June Sites","Y",0,100,1.51515151515152,0,89.3939393939394,0,4.54545454545455,0,4.54545454545455
"J15",34.125012,114.91032,20201119,09:03:36,"MBH","June Sites","Y",1.2987012987013,98.7012987012987,1.33333333333333,0,77.3333333333333,0,20,0,1.33333333333333
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",15.4929577464789,84.5070422535211,4.6875,0,76.5625,4.6875,0,0,14.0625
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,4.05405405405405,0,58.1081081081081,31.0810810810811,4.05405405405405,0,2.7027027027027
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",13.5135135135135,86.4864864864865,1.75438596491228,0,92.9824561403509,1.75438596491228,3.50877192982456,0,0
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",5.26315789473684,94.7368421052632,14.2857142857143,0,71.4285714285714,6.34920634920635,6.34920634920635,0,1.58730158730159
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,45.4545454545455,0,41.8181818181818,1.81818181818182,9.09090909090909,0,1.81818181818182
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,9.85915492957746,0,66.1971830985916,7.04225352112676,2.8169014084507,0,14.0845070422535
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",18.6666666666667,81.3333333333333,17.5438596491228,0,77.1929824561403,0,3.50877192982456,0,1.75438596491228
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,1.81818181818182,0,63.6363636363636,0,3.63636363636364,0,30.9090909090909
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,3.07692307692308,0,69.2307692307692,16.9230769230769,0,0,10.7692307692308
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,0,0,77.5862068965517,8.62068965517241,8.62068965517241,0,5.17241379310345
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",0,100,0,0,90.3225806451613,6.45161290322581,1.61290322580645,0,1.61290322580645
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",0,100,0,0,69.1176470588235,14.7058823529412,10.2941176470588,0,5.88235294117647
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",0,100,1.2987012987013,0,51.9480519480519,19.4805194805195,2.5974025974026,0,24.6753246753247
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",0,100,9.58904109589041,0,61.6438356164384,26.027397260274,1.36986301369863,1.36986301369863,0
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",0,100,9.09090909090909,0,53.030303030303,31.8181818181818,3.03030303030303,0,3.03030303030303
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,4.16666666666667,0,70.8333333333333,13.8888888888889,0,0,11.1111111111111
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",15.0684931506849,84.9315068493151,20,0,65,0,6.66666666666667,0,8.33333333333333
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",2.63157894736842,97.3684210526316,6.66666666666667,0,84,2.66666666666667,4,0,2.66666666666667
"J35",34.134801,114.869348,20201119,11:49:38,"MBH","June Sites","Y",4.10958904109589,95.8904109589041,27.1428571428571,0,45.7142857142857,0,2.85714285714286,1.42857142857143,22.8571428571429
"J36",34.130484,114.878263,20201119,11:41:09,"MBH","June Sites","Y",6.49350649350649,93.5064935064935,26.4705882352941,0,61.7647058823529,4.41176470588235,2.94117647058824,0,4.41176470588235
"J37",34.126354,114.878937,20201119,12:12:46,"MBH","June Sites","Y",0,100,11.2676056338028,0,46.4788732394366,0,2.8169014084507,0,39.4366197183099
"J38",34.127912,114.883938,20201119,12:04:47,"MBH","June Sites","Y",1.35135135135135,98.6486486486486,0,0,42.4242424242424,0,0,0,57.5757575757576
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,0,1.26582278481013,0,0,0,98.7341772151899
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,0,38.8888888888889,40.7407407407407,9.25925925925926,0,11.1111111111111
